ticker,snapshot_date,source
UNP,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
COP,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
PFE,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BLK,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
UBER,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
NOW,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BKNG,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
COF,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BMY,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
DHR,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
ISRG,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CVS,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MDT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
SBUX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
BNY,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
LOW,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
ACN,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
LMT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
ADBE,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
SO,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
USB,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
DUK,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GD,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CMCSA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
INTU,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MMM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
EMR,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
TMUS,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
AMT,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
MDLZ,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
GM,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
UPS,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
CL,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
FDX,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
SPG,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
HONA,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
NKE,2026-08-31,https://www.ishares.com/us/products/239723/ishares-s-p-100-etf/latest-holdings.csv
